出発空港,到着空港,出発時刻,到着時刻,航空会社,便名,価格,通貨,国
KIX,ICN,2026-01-14 19:10,2026-01-14 21:05,TW,306,11230.00,JPY,韓国
KIX,ICN,2026-01-14 15:40,2026-01-14 17:55,TW,304,11230.00,JPY,韓国
KIX,ICN,2026-01-14 13:05,2026-01-14 15:15,7C,1316,13350.00,JPY,韓国
KIX,PEK,2026-01-14 13:50,2026-01-14 16:10,CA,928,22130.00,JPY,中国
KIX,PEK,2026-01-14 09:00,2026-01-14 11:30,CA,162,22130.00,JPY,中国
KIX,PVG,2026-01-14 13:10,2026-01-14 15:25,MU,226,23570.00,JPY,中国
KIX,TNA,2026-01-14 16:10,2026-01-14 18:20,SC,8086,18350.00,JPY,タイ
KIX,TAO,2026-01-14 22:20,2026-01-15 00:15,SC,4096,18350.00,JPY,タイ
KIX,ICN,2026-01-14 15:40,2026-01-14 17:55,TW,304,22090.00,JPY,タイ
KIX,XMN,2026-01-14 18:55,2026-01-14 21:50,MF,840,23640.00,JPY,フィリピン
KIX,MNL,2026-01-14 10:15,2026-01-14 13:55,PR,407,25730.00,JPY,フィリピン
KIX,ICN,2026-01-14 13:05,2026-01-14 15:15,7C,1316,26680.00,JPY,フィリピン
KIX,SGN,2026-01-14 09:30,2026-01-14 13:30,VJ,829,23630.00,JPY,ベトナム
KIX,XMN,2026-01-14 18:55,2026-01-14 21:50,MF,840,23640.00,JPY,ベトナム
KIX,XMN,2026-01-14 18:55,2026-01-14 21:50,MF,840,23640.00,JPY,ベトナム
KIX,ICN,2026-01-14 13:05,2026-01-14 15:15,7C,1316,24610.00,JPY,マカオ
KIX,GMP,2026-01-14 16:30,2026-01-14 18:30,7C,1328,26130.00,JPY,マカオ
KIX,GMP,2026-01-14 11:00,2026-01-14 13:00,7C,1326,26130.00,JPY,マカオ
KIX,ICN,2026-01-14 19:10,2026-01-14 21:05,TW,306,17440.00,JPY,香港
KIX,TNA,2026-01-14 21:45,2026-01-14 23:55,SC,8088,18100.00,JPY,香港
KIX,TNA,2026-01-14 16:10,2026-01-14 18:20,SC,8086,18100.00,JPY,香港
KIX,TAE,2026-01-14 16:55,2026-01-14 18:30,TW,314,16960.00,JPY,台湾
KIX,CJU,2026-01-14 12:00,2026-01-14 14:00,TW,332,16960.00,JPY,台湾
KIX,TPE,2026-01-14 12:00,2026-01-14 14:15,VZ,567,20570.00,JPY,台湾
KIX,XMN,2026-01-14 18:55,2026-01-14 21:50,MF,840,22240.00,JPY,マレーシア
KIX,FOC,2026-01-14 13:05,2026-01-14 15:40,MF,836,22240.00,JPY,マレーシア
KIX,KUL,2026-01-14 13:30,2026-01-14 19:40,OD,861,26530.00,JPY,マレーシア
KIX,XMN,2026-01-14 18:55,2026-01-14 21:50,MF,840,22240.00,JPY,シンガポール
KIX,FOC,2026-01-14 13:05,2026-01-14 15:40,MF,836,22240.00,JPY,シンガポール
KIX,XMN,2026-01-14 18:55,2026-01-14 21:50,MF,840,22240.00,JPY,シンガポール
